Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-03 16:46:09,2018-07-03 16:48:11,2m - 1.862s,PASSED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-03 16:46:09,2018-07-03 16:47:11,1m - 1.884s,PASSED
startApplication,,,2018-07-03 16:46:10,2018-07-03 16:46:54,44.480s,PASSED
tap,,,2018-07-03 16:46:54,2018-07-03 16:46:56,2.105s,PASSED
tap,,,2018-07-03 16:46:56,2018-07-03 16:46:58,2.121s,PASSED
setText,,,2018-07-03 16:46:58,2018-07-03 16:47:00,1.289s,PASSED
tap,,,2018-07-03 16:47:00,2018-07-03 16:47:03,3.130s,PASSED
setText,,,2018-07-03 16:47:03,2018-07-03 16:47:04,1.226s,PASSED
tap,,,2018-07-03 16:47:04,2018-07-03 16:47:07,2.844s,PASSED
closeApplication,,,2018-07-03 16:47:07,2018-07-03 16:47:11,4.433s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-03 16:47:11,2018-07-03 16:48:11,59.713s,PASSED
startApplication,,,2018-07-03 16:47:11,2018-07-03 16:47:54,42.358s,PASSED
tap,,,2018-07-03 16:47:54,2018-07-03 16:47:56,2.074s,PASSED
tap,,,2018-07-03 16:47:56,2018-07-03 16:47:58,1.958s,PASSED
setText,,,2018-07-03 16:47:58,2018-07-03 16:47:59,1.418s,PASSED
tap,,,2018-07-03 16:47:59,2018-07-03 16:48:01,2.223s,PASSED
setText,,,2018-07-03 16:48:01,2018-07-03 16:48:03,1.314s,PASSED
tap,,,2018-07-03 16:48:03,2018-07-03 16:48:04,1.772s,PASSED
tap,,,2018-07-03 16:48:04,2018-07-03 16:48:07,2.081s,PASSED
closeApplication,,,2018-07-03 16:48:07,2018-07-03 16:48:11,4.398s,PASSED
