Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-05 16:05:34,2018-07-05 16:11:03,5m - 28.910s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-05 16:05:34,2018-07-05 16:06:41,1m - 6.474s,PASSED
startApplication,,,2018-07-05 16:05:34,2018-07-05 16:06:25,50.704s,PASSED
tap,,,2018-07-05 16:06:25,2018-07-05 16:06:27,1.972s,PASSED
tap,,,2018-07-05 16:06:27,2018-07-05 16:06:29,1.656s,PASSED
setText,,,2018-07-05 16:06:29,2018-07-05 16:06:30,1.241s,PASSED
tap,,,2018-07-05 16:06:30,2018-07-05 16:06:32,2.260s,PASSED
setText,,,2018-07-05 16:06:32,2018-07-05 16:06:33,1.209s,PASSED
tap,,,2018-07-05 16:06:33,2018-07-05 16:06:36,2.714s,PASSED
closeApplication,,,2018-07-05 16:06:36,2018-07-05 16:06:41,4.515s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-05 16:06:41,2018-07-05 16:07:47,1m - 6.186s,PASSED
startApplication,,,2018-07-05 16:06:41,2018-07-05 16:07:30,49.660s,PASSED
tap,,,2018-07-05 16:07:30,2018-07-05 16:07:33,2.433s,PASSED
tap,,,2018-07-05 16:07:33,2018-07-05 16:07:35,1.916s,PASSED
setText,,,2018-07-05 16:07:35,2018-07-05 16:07:36,1.286s,PASSED
tap,,,2018-07-05 16:07:36,2018-07-05 16:07:38,1.598s,PASSED
setText,,,2018-07-05 16:07:38,2018-07-05 16:07:39,1.135s,PASSED
tap,,,2018-07-05 16:07:39,2018-07-05 16:07:40,1.634s,PASSED
tap,,,2018-07-05 16:07:40,2018-07-05 16:07:42,2.044s,PASSED
closeApplication,,,2018-07-05 16:07:42,2018-07-05 16:07:47,4.393s,PASSED
,,,,,,
Test Cases/terminalFuctionality,,,2018-07-05 16:07:47,2018-07-05 16:09:20,1m - 33.478s,FAILED
startApplication,,,2018-07-05 16:07:47,2018-07-05 16:08:39,52.284s,PASSED
tap,,,2018-07-05 16:08:39,2018-07-05 16:08:41,2.041s,PASSED
tap,,,2018-07-05 16:08:41,2018-07-05 16:08:43,1.405s,PASSED
setText,,,2018-07-05 16:08:43,2018-07-05 16:08:44,1.219s,PASSED
tap,,,2018-07-05 16:08:44,2018-07-05 16:08:46,1.821s,PASSED
setText,,,2018-07-05 16:08:46,2018-07-05 16:08:48,1.952s,PASSED
tap,,,2018-07-05 16:08:48,2018-07-05 16:08:49,1.548s,PASSED
tap,,,2018-07-05 16:08:49,2018-07-05 16:09:20,31.090s,FAILED
,,,,,,
Test Cases/settings,,,2018-07-05 16:09:20,2018-07-05 16:10:58,1m - 38.142s,FAILED
startApplication,,,2018-07-05 16:09:20,2018-07-05 16:10:11,50.612s,PASSED
tap,,,2018-07-05 16:10:11,2018-07-05 16:10:13,2.053s,PASSED
tap,,,2018-07-05 16:10:13,2018-07-05 16:10:15,1.688s,PASSED
setText,,,2018-07-05 16:10:15,2018-07-05 16:10:16,1.166s,PASSED
tap,,,2018-07-05 16:10:16,2018-07-05 16:10:18,1.857s,PASSED
setText,,,2018-07-05 16:10:18,2018-07-05 16:10:19,1.160s,PASSED
tap,,,2018-07-05 16:10:19,2018-07-05 16:10:22,2.745s,PASSED
tap,,,2018-07-05 16:10:22,2018-07-05 16:10:23,1.504s,PASSED
tap,,,2018-07-05 16:10:23,2018-07-05 16:10:24,1.128s,PASSED
tap,,,2018-07-05 16:10:24,2018-07-05 16:10:58,34.161s,FAILED
