Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-11-15 10:42:50,2018-11-15 10:50:50,7m - 59.803s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-11-15 10:42:51,2018-11-15 10:44:02,1m - 11.846s,PASSED
startApplication,,,2018-11-15 10:42:51,2018-11-15 10:43:48,56.965s,PASSED
tap,,,2018-11-15 10:43:48,2018-11-15 10:43:50,2.005s,PASSED
tap,,,2018-11-15 10:43:50,2018-11-15 10:43:52,1.852s,PASSED
setText,,,2018-11-15 10:43:52,2018-11-15 10:43:53,1.233s,PASSED
tap,,,2018-11-15 10:43:53,2018-11-15 10:43:55,1.838s,PASSED
setText,,,2018-11-15 10:43:55,2018-11-15 10:43:56,1.035s,PASSED
tap,,,2018-11-15 10:43:56,2018-11-15 10:43:58,1.761s,PASSED
closeApplication,,,2018-11-15 10:43:58,2018-11-15 10:44:02,4.484s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-11-15 10:44:02,2018-11-15 10:45:09,1m - 6.258s,PASSED
startApplication,,,2018-11-15 10:44:03,2018-11-15 10:44:58,55.286s,PASSED
tap,,,2018-11-15 10:44:58,2018-11-15 10:45:00,2.351s,PASSED
tap,,,2018-11-15 10:45:00,2018-11-15 10:45:02,1.593s,PASSED
setText,,,2018-11-15 10:45:02,2018-11-15 10:45:03,1.203s,PASSED
tap,,,2018-11-15 10:45:03,2018-11-15 10:45:05,1.909s,PASSED
setText,,,2018-11-15 10:45:05,2018-11-15 10:45:06,1.041s,PASSED
tap,,,2018-11-15 10:45:06,2018-11-15 10:45:08,1.741s,PASSED
tap,,,2018-11-15 10:45:08,2018-11-15 10:45:09,1.034s,PASSED
closeApplication,,,2018-11-15 10:45:09,2018-11-15 10:45:09,0.001s,NOT_RUN
,,,,,,
Test Cases/terminalFuctionality,,,2018-11-15 10:45:09,2018-11-15 10:46:34,1m - 25.061s,FAILED
startApplication,,,2018-11-15 10:45:09,2018-11-15 10:45:52,43.568s,PASSED
tap,,,2018-11-15 10:45:52,2018-11-15 10:45:54,2.036s,PASSED
tap,,,2018-11-15 10:45:54,2018-11-15 10:45:57,2.172s,PASSED
setText,,,2018-11-15 10:45:57,2018-11-15 10:45:58,1.033s,PASSED
tap,,,2018-11-15 10:45:58,2018-11-15 10:46:00,2.502s,PASSED
setText,,,2018-11-15 10:46:00,2018-11-15 10:46:01,1.033s,PASSED
tap,,,2018-11-15 10:46:01,2018-11-15 10:46:03,1.606s,PASSED
tap,,,2018-11-15 10:46:03,2018-11-15 10:46:34,31.032s,FAILED
,,,,,,
Test Cases/settings,,,2018-11-15 10:46:34,2018-11-15 10:48:02,1m - 28.181s,FAILED
startApplication,,,2018-11-15 10:46:34,2018-11-15 10:47:20,46.356s,PASSED
tap,,,2018-11-15 10:47:20,2018-11-15 10:47:23,2.360s,PASSED
tap,,,2018-11-15 10:47:23,2018-11-15 10:47:25,2.049s,PASSED
setText,,,2018-11-15 10:47:25,2018-11-15 10:47:26,1.263s,PASSED
tap,,,2018-11-15 10:47:26,2018-11-15 10:47:28,1.942s,PASSED
setText,,,2018-11-15 10:47:28,2018-11-15 10:47:29,1.573s,PASSED
tap,,,2018-11-15 10:47:29,2018-11-15 10:47:31,1.547s,PASSED
tap,,,2018-11-15 10:47:31,2018-11-15 10:48:02,30.985s,FAILED
,,,,,,
Test Cases/myAccountSettings,,,2018-11-15 10:48:02,2018-11-15 10:50:46,2m - 43.703s,FAILED
startApplication,,,2018-11-15 10:48:02,2018-11-15 10:48:47,45.071s,PASSED
tap,,,2018-11-15 10:48:47,2018-11-15 10:48:49,2.125s,PASSED
tap,,,2018-11-15 10:48:49,2018-11-15 10:48:51,1.457s,PASSED
setText,,,2018-11-15 10:48:51,2018-11-15 10:48:53,2.029s,PASSED
tap,,,2018-11-15 10:48:53,2018-11-15 10:48:55,2.398s,PASSED
setText,,,2018-11-15 10:48:55,2018-11-15 10:48:56,1.006s,PASSED
hideKeyboard,,,2018-11-15 10:48:56,2018-11-15 10:48:58,1.645s,PASSED
tap,,,2018-11-15 10:48:58,2018-11-15 10:49:01,2.692s,PASSED
tap,,,2018-11-15 10:49:01,2018-11-15 10:49:02,1.241s,PASSED
tap,,,2018-11-15 10:49:02,2018-11-15 10:49:03,1.333s,PASSED
comment,,,2018-11-15 10:49:03,2018-11-15 10:49:03,0.013s,PASSED
tap,,,2018-11-15 10:49:03,2018-11-15 10:49:05,1.579s,PASSED
tap,,,2018-11-15 10:49:05,2018-11-15 10:49:06,1.579s,PASSED
clearText,,,2018-11-15 10:49:06,2018-11-15 10:49:07,0.286s,PASSED
setText,,,2018-11-15 10:49:07,2018-11-15 10:49:09,2.498s,PASSED
tap,,,2018-11-15 10:49:09,2018-11-15 10:49:12,2.860s,PASSED
clearText,,,2018-11-15 10:49:12,2018-11-15 10:49:12,0.289s,PASSED
setText,,,2018-11-15 10:49:12,2018-11-15 10:49:15,2.523s,PASSED
verifyElementExist,,,2018-11-15 10:49:15,2018-11-15 10:49:16,1.312s,PASSED
hideKeyboard,,,2018-11-15 10:49:16,2018-11-15 10:49:18,1.501s,PASSED
tap,,,2018-11-15 10:49:18,2018-11-15 10:49:21,3.035s,PASSED
tap,,,2018-11-15 10:49:21,2018-11-15 10:49:22,1.204s,PASSED
comment,,,2018-11-15 10:49:22,2018-11-15 10:49:22,0.000s,PASSED
tap,,,2018-11-15 10:49:22,2018-11-15 10:49:23,1.547s,PASSED
tap,,,2018-11-15 10:49:23,2018-11-15 10:49:25,1.570s,PASSED
clearText,,,2018-11-15 10:49:25,2018-11-15 10:49:25,0.246s,PASSED
setText,,,2018-11-15 10:49:25,2018-11-15 10:49:28,2.609s,PASSED
tap,,,2018-11-15 10:49:28,2018-11-15 10:49:31,2.933s,PASSED
tap,,,2018-11-15 10:49:31,2018-11-15 10:49:32,1.042s,PASSED
tap,,,2018-11-15 10:49:32,2018-11-15 10:49:33,1.105s,PASSED
tap,,,2018-11-15 10:49:33,2018-11-15 10:49:34,1.205s,PASSED
comment,,,2018-11-15 10:49:34,2018-11-15 10:49:34,0.001s,PASSED
tap,,,2018-11-15 10:49:34,2018-11-15 10:49:36,1.847s,PASSED
tap,,,2018-11-15 10:49:36,2018-11-15 10:49:38,1.658s,PASSED
clearText,,,2018-11-15 10:49:38,2018-11-15 10:49:38,0.307s,PASSED
setText,,,2018-11-15 10:49:38,2018-11-15 10:49:41,3.209s,PASSED
tap,,,2018-11-15 10:49:41,2018-11-15 10:49:43,2.086s,PASSED
clearText,,,2018-11-15 10:49:43,2018-11-15 10:49:43,0.283s,PASSED
setText,,,2018-11-15 10:49:43,2018-11-15 10:49:46,2.467s,PASSED
tap,,,2018-11-15 10:49:46,2018-11-15 10:49:48,1.970s,PASSED
clearText,,,2018-11-15 10:49:48,2018-11-15 10:49:48,0.316s,PASSED
verifyElementVisible,,,2018-11-15 10:49:48,2018-11-15 10:49:50,1.303s,PASSED
setText,,,2018-11-15 10:49:50,2018-11-15 10:49:51,1.749s,PASSED
tap,,,2018-11-15 10:49:51,2018-11-15 10:49:55,3.951s,PASSED
tap,,,2018-11-15 10:49:55,2018-11-15 10:49:56,1.024s,PASSED
tap,,,2018-11-15 10:49:56,2018-11-15 10:50:00,3.603s,PASSED
tap,,,2018-11-15 10:50:00,2018-11-15 10:50:01,1.236s,PASSED
checkElement,,,2018-11-15 10:50:01,2018-11-15 10:50:02,0.993s,PASSED
tap,,,2018-11-15 10:50:02,2018-11-15 10:50:06,3.445s,PASSED
tap,,,2018-11-15 10:50:06,2018-11-15 10:50:09,3.417s,PASSED
checkElement,,,2018-11-15 10:50:09,2018-11-15 10:50:10,0.986s,PASSED
tap,,,2018-11-15 10:50:10,2018-11-15 10:50:11,1.280s,PASSED
tap,,,2018-11-15 10:50:11,2018-11-15 10:50:13,1.508s,PASSED
pressBack,,,2018-11-15 10:50:13,2018-11-15 10:50:13,0.208s,PASSED
comment,,,2018-11-15 10:50:13,2018-11-15 10:50:13,0.005s,PASSED
tap,,,2018-11-15 10:50:13,2018-11-15 10:50:15,1.940s,PASSED
tap,,,2018-11-15 10:50:15,2018-11-15 10:50:46,30.837s,FAILED
