Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-10-16 15:03:04,2018-10-16 15:06:45,3m - 41.765s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-10-16 15:03:04,2018-10-16 15:04:04,59.904s,PASSED
startApplication,,,2018-10-16 15:03:04,2018-10-16 15:03:48,43.916s,PASSED
tap,,,2018-10-16 15:03:48,2018-10-16 15:03:50,1.922s,PASSED
tap,,,2018-10-16 15:03:50,2018-10-16 15:03:52,2.063s,PASSED
setText,,,2018-10-16 15:03:52,2018-10-16 15:03:53,1.050s,PASSED
tap,,,2018-10-16 15:03:53,2018-10-16 15:03:55,2.338s,PASSED
setText,,,2018-10-16 15:03:55,2018-10-16 15:03:56,1.116s,PASSED
tap,,,2018-10-16 15:03:56,2018-10-16 15:03:59,2.765s,PASSED
closeApplication,,,2018-10-16 15:03:59,2018-10-16 15:04:04,4.537s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-10-16 15:04:04,2018-10-16 15:05:01,57.609s,PASSED
startApplication,,,2018-10-16 15:04:04,2018-10-16 15:04:45,41.046s,PASSED
tap,,,2018-10-16 15:04:45,2018-10-16 15:04:47,1.909s,PASSED
tap,,,2018-10-16 15:04:47,2018-10-16 15:04:49,1.844s,PASSED
setText,,,2018-10-16 15:04:49,2018-10-16 15:04:50,1.039s,PASSED
tap,,,2018-10-16 15:04:50,2018-10-16 15:04:52,1.983s,PASSED
setText,,,2018-10-16 15:04:52,2018-10-16 15:04:53,1.073s,PASSED
tap,,,2018-10-16 15:04:53,2018-10-16 15:04:54,1.680s,PASSED
tap,,,2018-10-16 15:04:54,2018-10-16 15:04:57,2.283s,PASSED
closeApplication,,,2018-10-16 15:04:57,2018-10-16 15:05:01,4.656s,PASSED
,,,,,,
Test Cases/terminalFuctionality,,,2018-10-16 15:05:01,2018-10-16 15:05:01,0.095s,FAILED
startApplication,,,2018-10-16 15:05:01,2018-10-16 15:05:01,0.001s,NOT_RUN
tap,,,2018-10-16 15:05:01,2018-10-16 15:05:01,0.000s,NOT_RUN
tap,,,2018-10-16 15:05:01,2018-10-16 15:05:01,0.005s,PASSED
,,,,,,
Test Cases/settings,,,2018-10-16 15:05:01,2018-10-16 15:06:45,1m - 43.905s,FAILED
startApplication,,,2018-10-16 15:05:02,2018-10-16 15:05:45,43.389s,PASSED
tap,,,2018-10-16 15:05:45,2018-10-16 15:05:47,2.003s,PASSED
tap,,,2018-10-16 15:05:47,2018-10-16 15:05:49,2.074s,PASSED
setText,,,2018-10-16 15:05:49,2018-10-16 15:05:50,1.088s,PASSED
tap,,,2018-10-16 15:05:50,2018-10-16 15:05:52,2.015s,PASSED
setText,,,2018-10-16 15:05:52,2018-10-16 15:05:53,1.064s,PASSED
tap,,,2018-10-16 15:05:53,2018-10-16 15:05:56,2.680s,PASSED
tap,,,2018-10-16 15:05:56,2018-10-16 15:05:57,1.143s,PASSED
comment,,,2018-10-16 15:05:57,2018-10-16 15:05:57,0.011s,PASSED
tap,,,2018-10-16 15:05:57,2018-10-16 15:05:58,1.265s,PASSED
tap,,,2018-10-16 15:05:58,2018-10-16 15:05:59,1.247s,PASSED
tap,,,2018-10-16 15:05:59,2018-10-16 15:06:01,1.247s,PASSED
tap,,,2018-10-16 15:06:01,2018-10-16 15:06:03,1.770s,PASSED
tap,,,2018-10-16 15:06:03,2018-10-16 15:06:04,1.198s,PASSED
tap,,,2018-10-16 15:06:04,2018-10-16 15:06:05,1.387s,PASSED
tap,,,2018-10-16 15:06:05,2018-10-16 15:06:07,1.633s,PASSED
tap,,,2018-10-16 15:06:07,2018-10-16 15:06:08,1.150s,PASSED
tap,,,2018-10-16 15:06:08,2018-10-16 15:06:09,1.135s,PASSED
tap,,,2018-10-16 15:06:09,2018-10-16 15:06:11,1.579s,PASSED
tap,,,2018-10-16 15:06:11,2018-10-16 15:06:12,1.220s,PASSED
tap,,,2018-10-16 15:06:12,2018-10-16 15:06:13,1.170s,PASSED
tap,,,2018-10-16 15:06:13,2018-10-16 15:06:14,1.300s,PASSED
tap,,,2018-10-16 15:06:14,2018-10-16 15:06:15,1.185s,PASSED
tap,,,2018-10-16 15:06:15,2018-10-16 15:06:18,2.322s,PASSED
tap,,,2018-10-16 15:06:18,2018-10-16 15:06:19,1.118s,PASSED
comment,,,2018-10-16 15:06:19,2018-10-16 15:06:19,0.001s,PASSED
tap,,,2018-10-16 15:06:19,2018-10-16 15:06:23,4.002s,PASSED
waitForElementPresent,,,2018-10-16 15:06:23,2018-10-16 15:06:23,0.204s,PASSED
tap,,,2018-10-16 15:06:23,2018-10-16 15:06:24,1.318s,PASSED
comment,,,2018-10-16 15:06:24,2018-10-16 15:06:24,0.000s,PASSED
tap,,,2018-10-16 15:06:24,2018-10-16 15:06:26,1.212s,PASSED
tap,,,2018-10-16 15:06:26,2018-10-16 15:06:27,0.863s,PASSED
tap,,,2018-10-16 15:06:27,2018-10-16 15:06:27,0.838s,PASSED
tap,,,2018-10-16 15:06:27,2018-10-16 15:06:28,0.984s,PASSED
tap,,,2018-10-16 15:06:28,2018-10-16 15:06:29,1.111s,PASSED
tap,,,2018-10-16 15:06:29,2018-10-16 15:06:30,0.872s,PASSED
waitForElementPresent,,,2018-10-16 15:06:30,2018-10-16 15:06:30,0.171s,PASSED
tap,,,2018-10-16 15:06:30,2018-10-16 15:06:31,0.932s,PASSED
tap,,,2018-10-16 15:06:31,2018-10-16 15:06:32,0.802s,PASSED
tap,,,2018-10-16 15:06:32,2018-10-16 15:06:33,0.801s,PASSED
tap,,,2018-10-16 15:06:33,2018-10-16 15:06:34,1.100s,PASSED
comment,,,2018-10-16 15:06:34,2018-10-16 15:06:34,0.000s,PASSED
tap,,,2018-10-16 15:06:34,2018-10-16 15:06:34,0.000s,NOT_RUN
tap,,,2018-10-16 15:06:34,2018-10-16 15:06:34,0.001s,NOT_RUN
comment,,,2018-10-16 15:06:34,2018-10-16 15:06:34,0.001s,PASSED
tap,,,2018-10-16 15:06:34,2018-10-16 15:06:35,1.176s,PASSED
checkElement,,,2018-10-16 15:06:35,2018-10-16 15:06:36,0.910s,PASSED
checkElement,,,2018-10-16 15:06:36,2018-10-16 15:06:40,3.330s,PASSED
tap,,,2018-10-16 15:06:40,2018-10-16 15:06:41,1.120s,PASSED
closeApplication,,,2018-10-16 15:06:41,2018-10-16 15:06:45,4.656s,PASSED
checkElement,,,2018-10-16 15:06:45,2018-10-16 15:06:45,0.005s,PASSED
