Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-25 09:28:10,2018-07-25 09:33:42,5m - 32.914s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-25 09:28:10,2018-07-25 09:29:23,1m - 12.928s,PASSED
startApplication,,,2018-07-25 09:28:10,2018-07-25 09:29:08,57.706s,PASSED
tap,,,2018-07-25 09:29:08,2018-07-25 09:29:10,1.880s,PASSED
tap,,,2018-07-25 09:29:10,2018-07-25 09:29:11,1.744s,PASSED
setText,,,2018-07-25 09:29:11,2018-07-25 09:29:13,1.292s,PASSED
tap,,,2018-07-25 09:29:13,2018-07-25 09:29:14,1.796s,PASSED
setText,,,2018-07-25 09:29:14,2018-07-25 09:29:15,0.970s,PASSED
tap,,,2018-07-25 09:29:15,2018-07-25 09:29:18,2.630s,PASSED
closeApplication,,,2018-07-25 09:29:18,2018-07-25 09:29:23,4.695s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-25 09:29:23,2018-07-25 09:30:28,1m - 5.109s,PASSED
startApplication,,,2018-07-25 09:29:23,2018-07-25 09:30:07,44.473s,PASSED
tap,,,2018-07-25 09:30:07,2018-07-25 09:30:09,1.880s,PASSED
tap,,,2018-07-25 09:30:09,2018-07-25 09:30:11,1.499s,PASSED
setText,,,2018-07-25 09:30:11,2018-07-25 09:30:12,1.133s,PASSED
tap,,,2018-07-25 09:30:12,2018-07-25 09:30:15,3.331s,PASSED
setText,,,2018-07-25 09:30:15,2018-07-25 09:30:16,0.917s,PASSED
tap,,,2018-07-25 09:30:16,2018-07-25 09:30:20,3.949s,PASSED
tap,,,2018-07-25 09:30:20,2018-07-25 09:30:23,3.292s,PASSED
closeApplication,,,2018-07-25 09:30:23,2018-07-25 09:30:28,4.569s,PASSED
,,,,,,
Test Cases/terminalFuctionality,,,2018-07-25 09:30:28,2018-07-25 09:31:56,1m - 28.463s,PASSED
startApplication,,,2018-07-25 09:30:28,2018-07-25 09:31:16,48.107s,PASSED
tap,,,2018-07-25 09:31:16,2018-07-25 09:31:18,1.925s,PASSED
tap,,,2018-07-25 09:31:18,2018-07-25 09:31:19,1.259s,PASSED
setText,,,2018-07-25 09:31:19,2018-07-25 09:31:21,1.332s,PASSED
tap,,,2018-07-25 09:31:21,2018-07-25 09:31:22,1.678s,PASSED
setText,,,2018-07-25 09:31:22,2018-07-25 09:31:23,0.965s,PASSED
tap,,,2018-07-25 09:31:23,2018-07-25 09:31:26,2.716s,PASSED
tap,,,2018-07-25 09:31:26,2018-07-25 09:31:27,1.035s,PASSED
tap,,,2018-07-25 09:31:27,2018-07-25 09:31:28,0.951s,PASSED
tap,,,2018-07-25 09:31:28,2018-07-25 09:31:31,3.325s,PASSED
tap,,,2018-07-25 09:31:31,2018-07-25 09:31:35,3.346s,PASSED
tap,,,2018-07-25 09:31:35,2018-07-25 09:31:35,0.933s,PASSED
tap,,,2018-07-25 09:31:35,2018-07-25 09:31:37,1.433s,PASSED
tap,,,2018-07-25 09:31:37,2018-07-25 09:31:38,0.934s,PASSED
tap,,,2018-07-25 09:31:38,2018-07-25 09:31:39,0.951s,PASSED
tap,,,2018-07-25 09:31:39,2018-07-25 09:31:40,0.936s,PASSED
tap,,,2018-07-25 09:31:40,2018-07-25 09:31:41,0.934s,PASSED
tap,,,2018-07-25 09:31:41,2018-07-25 09:31:42,1.023s,PASSED
tap,,,2018-07-25 09:31:42,2018-07-25 09:31:45,3.520s,PASSED
tap,,,2018-07-25 09:31:45,2018-07-25 09:31:46,0.943s,PASSED
tap,,,2018-07-25 09:31:46,2018-07-25 09:31:49,2.753s,PASSED
tap,,,2018-07-25 09:31:49,2018-07-25 09:31:52,2.823s,PASSED
closeApplication,,,2018-07-25 09:31:52,2018-07-25 09:31:56,4.557s,PASSED
,,,,,,
Test Cases/settings,,,2018-07-25 09:31:56,2018-07-25 09:33:38,1m - 41.753s,FAILED
startApplication,,,2018-07-25 09:31:56,2018-07-25 09:32:42,45.220s,PASSED
tap,,,2018-07-25 09:32:42,2018-07-25 09:32:44,2.329s,PASSED
tap,,,2018-07-25 09:32:44,2018-07-25 09:32:45,1.404s,PASSED
setText,,,2018-07-25 09:32:45,2018-07-25 09:32:47,1.686s,PASSED
tap,,,2018-07-25 09:32:47,2018-07-25 09:32:49,2.003s,PASSED
setText,,,2018-07-25 09:32:49,2018-07-25 09:32:50,1.082s,PASSED
tap,,,2018-07-25 09:32:50,2018-07-25 09:32:53,2.631s,PASSED
tap,,,2018-07-25 09:32:53,2018-07-25 09:32:54,1.244s,PASSED
tap,,,2018-07-25 09:32:54,2018-07-25 09:32:55,1.306s,PASSED
tap,,,2018-07-25 09:32:55,2018-07-25 09:32:57,1.608s,PASSED
tap,,,2018-07-25 09:32:57,2018-07-25 09:32:58,1.236s,PASSED
tap,,,2018-07-25 09:32:58,2018-07-25 09:32:59,1.235s,PASSED
tap,,,2018-07-25 09:32:59,2018-07-25 09:33:01,1.218s,PASSED
tap,,,2018-07-25 09:33:01,2018-07-25 09:33:02,1.451s,PASSED
tap,,,2018-07-25 09:33:02,2018-07-25 09:33:03,1.204s,PASSED
tap,,,2018-07-25 09:33:03,2018-07-25 09:33:04,1.197s,PASSED
tap,,,2018-07-25 09:33:04,2018-07-25 09:33:06,1.218s,PASSED
tap,,,2018-07-25 09:33:06,2018-07-25 09:33:07,1.590s,PASSED
tap,,,2018-07-25 09:33:07,2018-07-25 09:33:38,30.798s,FAILED
