Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-03 16:50:31,2018-07-03 16:52:40,2m - 8.664s,PASSED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-03 16:50:31,2018-07-03 16:51:40,1m - 9.101s,PASSED
startApplication,,,2018-07-03 16:50:31,2018-07-03 16:51:23,51.836s,PASSED
tap,,,2018-07-03 16:51:23,2018-07-03 16:51:26,2.479s,PASSED
tap,,,2018-07-03 16:51:26,2018-07-03 16:51:27,1.717s,PASSED
setText,,,2018-07-03 16:51:27,2018-07-03 16:51:29,1.731s,PASSED
tap,,,2018-07-03 16:51:29,2018-07-03 16:51:31,2.176s,PASSED
setText,,,2018-07-03 16:51:31,2018-07-03 16:51:33,1.215s,PASSED
tap,,,2018-07-03 16:51:33,2018-07-03 16:51:36,3.274s,PASSED
closeApplication,,,2018-07-03 16:51:36,2018-07-03 16:51:40,4.405s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-03 16:51:40,2018-07-03 16:52:40,59.309s,PASSED
startApplication,,,2018-07-03 16:51:40,2018-07-03 16:52:22,42.142s,PASSED
tap,,,2018-07-03 16:52:22,2018-07-03 16:52:25,2.078s,PASSED
tap,,,2018-07-03 16:52:25,2018-07-03 16:52:27,2.039s,PASSED
setText,,,2018-07-03 16:52:27,2018-07-03 16:52:28,1.146s,PASSED
tap,,,2018-07-03 16:52:28,2018-07-03 16:52:30,2.139s,PASSED
setText,,,2018-07-03 16:52:30,2018-07-03 16:52:31,1.288s,PASSED
tap,,,2018-07-03 16:52:31,2018-07-03 16:52:33,1.734s,PASSED
tap,,,2018-07-03 16:52:33,2018-07-03 16:52:35,2.162s,PASSED
closeApplication,,,2018-07-03 16:52:35,2018-07-03 16:52:40,4.466s,PASSED
