Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-10-16 15:09:28,2018-10-16 15:14:11,4m - 42.899s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-10-16 15:09:28,2018-10-16 15:10:19,51.453s,PASSED
startApplication,,,2018-10-16 15:09:28,2018-10-16 15:10:09,40.736s,PASSED
tap,,,2018-10-16 15:10:09,2018-10-16 15:10:11,1.859s,PASSED
tap,,,2018-10-16 15:10:11,2018-10-16 15:10:12,1.461s,PASSED
setText,,,2018-10-16 15:10:12,2018-10-16 15:10:13,1.198s,PASSED
tap,,,2018-10-16 15:10:13,2018-10-16 15:10:16,2.108s,PASSED
setText,,,2018-10-16 15:10:16,2018-10-16 15:10:17,1.053s,PASSED
tap,,,2018-10-16 15:10:17,2018-10-16 15:10:19,2.836s,PASSED
closeApplication,,,2018-10-16 15:10:19,2018-10-16 15:10:19,0.001s,NOT_RUN
,,,,,,
Test Cases/failedLoginTest,,,2018-10-16 15:10:19,2018-10-16 15:11:09,50.048s,PASSED
startApplication,,,2018-10-16 15:10:20,2018-10-16 15:10:58,38.632s,PASSED
tap,,,2018-10-16 15:10:58,2018-10-16 15:11:00,1.897s,PASSED
tap,,,2018-10-16 15:11:00,2018-10-16 15:11:02,1.966s,PASSED
setText,,,2018-10-16 15:11:02,2018-10-16 15:11:03,1.068s,PASSED
tap,,,2018-10-16 15:11:03,2018-10-16 15:11:05,1.859s,PASSED
setText,,,2018-10-16 15:11:05,2018-10-16 15:11:06,1.086s,PASSED
tap,,,2018-10-16 15:11:06,2018-10-16 15:11:08,1.628s,PASSED
tap,,,2018-10-16 15:11:08,2018-10-16 15:11:09,1.826s,PASSED
closeApplication,,,2018-10-16 15:11:09,2018-10-16 15:11:09,0.001s,NOT_RUN
,,,,,,
Test Cases/terminalFuctionality,,,2018-10-16 15:11:09,2018-10-16 15:12:28,1m - 18.073s,PASSED
startApplication,,,2018-10-16 15:11:10,2018-10-16 15:11:52,42.329s,PASSED
tap,,,2018-10-16 15:11:52,2018-10-16 15:11:54,1.938s,PASSED
tap,,,2018-10-16 15:11:54,2018-10-16 15:11:56,1.690s,PASSED
setText,,,2018-10-16 15:11:56,2018-10-16 15:11:57,1.051s,PASSED
tap,,,2018-10-16 15:11:57,2018-10-16 15:11:59,2.057s,PASSED
setText,,,2018-10-16 15:11:59,2018-10-16 15:12:00,1.034s,PASSED
tap,,,2018-10-16 15:12:00,2018-10-16 15:12:02,2.584s,PASSED
tap,,,2018-10-16 15:12:02,2018-10-16 15:12:03,1.008s,PASSED
tap,,,2018-10-16 15:12:03,2018-10-16 15:12:04,1.024s,PASSED
tap,,,2018-10-16 15:12:04,2018-10-16 15:12:08,3.310s,PASSED
tap,,,2018-10-16 15:12:08,2018-10-16 15:12:11,3.339s,PASSED
tap,,,2018-10-16 15:12:11,2018-10-16 15:12:12,0.977s,PASSED
tap,,,2018-10-16 15:12:12,2018-10-16 15:12:13,1.002s,PASSED
tap,,,2018-10-16 15:12:13,2018-10-16 15:12:14,0.980s,PASSED
tap,,,2018-10-16 15:12:14,2018-10-16 15:12:15,0.958s,PASSED
tap,,,2018-10-16 15:12:15,2018-10-16 15:12:16,0.979s,PASSED
tap,,,2018-10-16 15:12:16,2018-10-16 15:12:17,0.952s,PASSED
tap,,,2018-10-16 15:12:17,2018-10-16 15:12:18,1.068s,PASSED
tap,,,2018-10-16 15:12:18,2018-10-16 15:12:21,3.023s,PASSED
tap,,,2018-10-16 15:12:21,2018-10-16 15:12:22,0.962s,PASSED
tap,,,2018-10-16 15:12:22,2018-10-16 15:12:25,2.787s,PASSED
tap,,,2018-10-16 15:12:25,2018-10-16 15:12:28,2.927s,PASSED
closeApplication,,,2018-10-16 15:12:28,2018-10-16 15:12:28,0.000s,NOT_RUN
,,,,,,
Test Cases/settings,,,2018-10-16 15:12:28,2018-10-16 15:14:11,1m - 43.051s,FAILED
startApplication,,,2018-10-16 15:12:28,2018-10-16 15:13:11,43.254s,PASSED
tap,,,2018-10-16 15:13:11,2018-10-16 15:13:13,1.999s,PASSED
tap,,,2018-10-16 15:13:13,2018-10-16 15:13:15,1.627s,PASSED
setText,,,2018-10-16 15:13:15,2018-10-16 15:13:16,1.731s,PASSED
tap,,,2018-10-16 15:13:16,2018-10-16 15:13:18,2.059s,PASSED
setText,,,2018-10-16 15:13:18,2018-10-16 15:13:19,1.039s,PASSED
tap,,,2018-10-16 15:13:19,2018-10-16 15:13:22,2.566s,PASSED
tap,,,2018-10-16 15:13:22,2018-10-16 15:13:23,1.163s,PASSED
comment,,,2018-10-16 15:13:23,2018-10-16 15:13:23,0.012s,PASSED
tap,,,2018-10-16 15:13:23,2018-10-16 15:13:24,1.280s,PASSED
tap,,,2018-10-16 15:13:24,2018-10-16 15:13:26,1.179s,PASSED
tap,,,2018-10-16 15:13:26,2018-10-16 15:13:27,1.180s,PASSED
tap,,,2018-10-16 15:13:27,2018-10-16 15:13:28,1.217s,PASSED
tap,,,2018-10-16 15:13:28,2018-10-16 15:13:29,1.169s,PASSED
tap,,,2018-10-16 15:13:29,2018-10-16 15:13:31,1.384s,PASSED
