Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-06 08:52:42,2018-07-06 08:58:07,5m - 25.675s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-06 08:52:42,2018-07-06 08:53:52,1m - 10.474s,PASSED
startApplication,,,2018-07-06 08:52:42,2018-07-06 08:53:36,54.100s,PASSED
tap,,,2018-07-06 08:53:36,2018-07-06 08:53:38,2.015s,PASSED
tap,,,2018-07-06 08:53:38,2018-07-06 08:53:40,2.442s,PASSED
setText,,,2018-07-06 08:53:40,2018-07-06 08:53:42,1.303s,PASSED
tap,,,2018-07-06 08:53:42,2018-07-06 08:53:44,1.870s,PASSED
setText,,,2018-07-06 08:53:44,2018-07-06 08:53:45,1.280s,PASSED
tap,,,2018-07-06 08:53:45,2018-07-06 08:53:48,2.739s,PASSED
closeApplication,,,2018-07-06 08:53:48,2018-07-06 08:53:52,4.539s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-06 08:53:52,2018-07-06 08:54:52,1m - 0.017s,PASSED
startApplication,,,2018-07-06 08:53:52,2018-07-06 08:54:36,43.356s,PASSED
tap,,,2018-07-06 08:54:36,2018-07-06 08:54:38,2.091s,PASSED
tap,,,2018-07-06 08:54:38,2018-07-06 08:54:40,1.852s,PASSED
setText,,,2018-07-06 08:54:40,2018-07-06 08:54:41,1.249s,PASSED
tap,,,2018-07-06 08:54:41,2018-07-06 08:54:43,1.844s,PASSED
setText,,,2018-07-06 08:54:43,2018-07-06 08:54:44,1.233s,PASSED
tap,,,2018-07-06 08:54:44,2018-07-06 08:54:46,1.862s,PASSED
tap,,,2018-07-06 08:54:46,2018-07-06 08:54:48,2.036s,PASSED
closeApplication,,,2018-07-06 08:54:48,2018-07-06 08:54:52,4.400s,PASSED
,,,,,,
Test Cases/terminalFuctionality,,,2018-07-06 08:54:52,2018-07-06 08:56:15,1m - 23.045s,PASSED
startApplication,,,2018-07-06 08:54:52,2018-07-06 08:55:36,44.039s,PASSED
tap,,,2018-07-06 08:55:36,2018-07-06 08:55:38,2.021s,PASSED
tap,,,2018-07-06 08:55:38,2018-07-06 08:55:40,1.589s,PASSED
setText,,,2018-07-06 08:55:40,2018-07-06 08:55:42,1.906s,PASSED
tap,,,2018-07-06 08:55:42,2018-07-06 08:55:44,1.835s,PASSED
setText,,,2018-07-06 08:55:44,2018-07-06 08:55:45,1.308s,PASSED
tap,,,2018-07-06 08:55:45,2018-07-06 08:55:48,2.806s,PASSED
tap,,,2018-07-06 08:55:48,2018-07-06 08:55:49,0.972s,PASSED
tap,,,2018-07-06 08:55:49,2018-07-06 08:55:50,0.952s,PASSED
tap,,,2018-07-06 08:55:50,2018-07-06 08:55:52,1.818s,PASSED
tap,,,2018-07-06 08:55:52,2018-07-06 08:55:54,1.994s,PASSED
tap,,,2018-07-06 08:55:54,2018-07-06 08:55:55,1.093s,PASSED
tap,,,2018-07-06 08:55:55,2018-07-06 08:55:56,1.609s,PASSED
tap,,,2018-07-06 08:55:56,2018-07-06 08:55:57,1.135s,PASSED
tap,,,2018-07-06 08:55:57,2018-07-06 08:55:58,1.047s,PASSED
tap,,,2018-07-06 08:55:58,2018-07-06 08:56:00,1.079s,PASSED
tap,,,2018-07-06 08:56:00,2018-07-06 08:56:01,1.067s,PASSED
tap,,,2018-07-06 08:56:01,2018-07-06 08:56:02,1.185s,PASSED
tap,,,2018-07-06 08:56:02,2018-07-06 08:56:04,2.144s,PASSED
tap,,,2018-07-06 08:56:04,2018-07-06 08:56:05,1.123s,PASSED
tap,,,2018-07-06 08:56:05,2018-07-06 08:56:08,2.941s,PASSED
tap,,,2018-07-06 08:56:08,2018-07-06 08:56:11,2.865s,PASSED
closeApplication,,,2018-07-06 08:56:11,2018-07-06 08:56:15,4.423s,PASSED
,,,,,,
Test Cases/settings,,,2018-07-06 08:56:15,2018-07-06 08:58:02,1m - 46.974s,FAILED
startApplication,,,2018-07-06 08:56:15,2018-07-06 08:57:05,49.677s,PASSED
tap,,,2018-07-06 08:57:05,2018-07-06 08:57:07,1.918s,PASSED
tap,,,2018-07-06 08:57:07,2018-07-06 08:57:09,1.660s,PASSED
setText,,,2018-07-06 08:57:09,2018-07-06 08:57:10,1.334s,PASSED
tap,,,2018-07-06 08:57:10,2018-07-06 08:57:12,1.859s,PASSED
setText,,,2018-07-06 08:57:12,2018-07-06 08:57:13,1.209s,PASSED
tap,,,2018-07-06 08:57:13,2018-07-06 08:57:16,2.830s,PASSED
tap,,,2018-07-06 08:57:16,2018-07-06 08:57:17,1.156s,PASSED
tap,,,2018-07-06 08:57:17,2018-07-06 08:57:18,1.364s,PASSED
tap,,,2018-07-06 08:57:18,2018-07-06 08:57:20,1.432s,PASSED
tap,,,2018-07-06 08:57:20,2018-07-06 08:57:21,1.346s,PASSED
tap,,,2018-07-06 08:57:21,2018-07-06 08:57:23,1.732s,PASSED
tap,,,2018-07-06 08:57:23,2018-07-06 08:57:24,1.255s,PASSED
tap,,,2018-07-06 08:57:24,2018-07-06 08:57:26,1.566s,PASSED
tap,,,2018-07-06 08:57:26,2018-07-06 08:57:27,1.317s,PASSED
tap,,,2018-07-06 08:57:27,2018-07-06 08:57:28,1.299s,PASSED
tap,,,2018-07-06 08:57:28,2018-07-06 08:57:30,1.319s,PASSED
tap,,,2018-07-06 08:57:30,2018-07-06 08:57:31,1.701s,PASSED
tap,,,2018-07-06 08:57:31,2018-07-06 08:58:02,30.923s,FAILED
