Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-05 14:11:37,2018-07-05 14:15:25,3m - 48.380s,FAILED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-05 14:11:37,2018-07-05 14:12:43,1m - 6.060s,PASSED
startApplication,,,2018-07-05 14:11:37,2018-07-05 14:12:27,50.131s,PASSED
tap,,,2018-07-05 14:12:27,2018-07-05 14:12:30,2.118s,PASSED
tap,,,2018-07-05 14:12:30,2018-07-05 14:12:31,1.650s,PASSED
setText,,,2018-07-05 14:12:31,2018-07-05 14:12:33,2.043s,PASSED
tap,,,2018-07-05 14:12:33,2018-07-05 14:12:35,1.633s,PASSED
setText,,,2018-07-05 14:12:35,2018-07-05 14:12:36,1.144s,PASSED
tap,,,2018-07-05 14:12:36,2018-07-05 14:12:39,2.658s,PASSED
closeApplication,,,2018-07-05 14:12:39,2018-07-05 14:12:43,4.473s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-05 14:12:43,2018-07-05 14:13:51,1m - 7.797s,PASSED
startApplication,,,2018-07-05 14:12:43,2018-07-05 14:13:35,51.454s,PASSED
tap,,,2018-07-05 14:13:35,2018-07-05 14:13:37,1.978s,PASSED
tap,,,2018-07-05 14:13:37,2018-07-05 14:13:39,1.979s,PASSED
setText,,,2018-07-05 14:13:39,2018-07-05 14:13:40,1.149s,PASSED
tap,,,2018-07-05 14:13:40,2018-07-05 14:13:42,1.761s,PASSED
setText,,,2018-07-05 14:13:42,2018-07-05 14:13:43,1.257s,PASSED
tap,,,2018-07-05 14:13:43,2018-07-05 14:13:45,1.789s,PASSED
tap,,,2018-07-05 14:13:45,2018-07-05 14:13:47,1.919s,PASSED
closeApplication,,,2018-07-05 14:13:47,2018-07-05 14:13:51,4.441s,PASSED
,,,,,,
Test Cases/terminalFuctionality,,,2018-07-05 14:13:51,2018-07-05 14:15:25,1m - 34.288s,FAILED
startApplication,,,2018-07-05 14:13:51,2018-07-05 14:14:41,49.847s,PASSED
tap,,,2018-07-05 14:14:41,2018-07-05 14:14:43,2.137s,PASSED
tap,,,2018-07-05 14:14:43,2018-07-05 14:14:45,2.103s,PASSED
setText,,,2018-07-05 14:14:45,2018-07-05 14:14:46,1.197s,PASSED
tap,,,2018-07-05 14:14:46,2018-07-05 14:14:48,1.650s,PASSED
setText,,,2018-07-05 14:14:48,2018-07-05 14:14:49,1.113s,PASSED
tap,,,2018-07-05 14:14:49,2018-07-05 14:14:52,2.794s,PASSED
tap,,,2018-07-05 14:14:52,2018-07-05 14:14:53,1.177s,PASSED
tap,,,2018-07-05 14:14:53,2018-07-05 14:14:54,1.096s,PASSED
tap,,,2018-07-05 14:14:54,2018-07-05 14:14:58,3.565s,PASSED
tap,,,2018-07-05 14:14:58,2018-07-05 14:15:01,3.474s,PASSED
tap,,,2018-07-05 14:15:01,2018-07-05 14:15:02,0.964s,PASSED
tap,,,2018-07-05 14:15:02,2018-07-05 14:15:03,1.101s,PASSED
tap,,,2018-07-05 14:15:03,2018-07-05 14:15:04,1.085s,PASSED
tap,,,2018-07-05 14:15:04,2018-07-05 14:15:05,1.083s,PASSED
tap,,,2018-07-05 14:15:05,2018-07-05 14:15:07,1.072s,PASSED
tap,,,2018-07-05 14:15:07,2018-07-05 14:15:08,1.076s,PASSED
tap,,,2018-07-05 14:15:08,2018-07-05 14:15:09,1.162s,PASSED
tap,,,2018-07-05 14:15:09,2018-07-05 14:15:12,3.353s,PASSED
tap,,,2018-07-05 14:15:12,2018-07-05 14:15:13,1.111s,PASSED
tap,,,2018-07-05 14:15:13,2018-07-05 14:15:16,2.785s,PASSED
tap,,,2018-07-05 14:15:16,2018-07-05 14:15:20,4.362s,PASSED
closeApplication,,,2018-07-05 14:15:20,2018-07-05 14:15:25,4.497s,PASSED
acceptAlert,,,2018-07-05 14:15:25,2018-07-05 14:15:25,0.397s,FAILED
